user address:0xe009A8DC43F4Be935f18A997689b431723d109a8, avarger amount: 4219.2388265045484758, lottery amount:10
user address:0xb0D202791ba6ef2e5e2AAD9dFA7b0Bbc542AB095, avarger amount: 3821.3543727512601622, lottery amount:10
user address:0x9eC8E8F64EC6bB47d944B4b830130B5fCf2Da182, avarger amount: 2143.6534529757432662, lottery amount:10
user address:0xFf88531C3EfC13d662A131Fb188d6a1DC8f72378, avarger amount: 1605.3654825873384191, lottery amount:10
user address:0xc5E259fbc68D9014B23c17F25bd2A5C763A08264, avarger amount: 1482.8860140611893478, lottery amount:10
user address:0xb2ceb04874FcE4cEfd38C751C8ed7b88D2185c4d, avarger amount: 1115.8467680755314042, lottery amount:10
user address:0xC4AA614b06310805d6dFd4393402cCb844a4223c, avarger amount: 961.4488603471745126, lottery amount:10
user address:0xdb97aa9B0C07254Ef9E017641f5da271E5C31f35, avarger amount: 782.8896494640380619, lottery amount:10
user address:0xb8A7dE41a8D28952a4d253F22C4786C6Cd65122F, avarger amount: 529.5977359165355221, lottery amount:10
user address:0x0EB4ADD4bA497357546DA7F5D12D39587cA24606, avarger amount: 434.3304080116967597, lottery amount:10
user address:0x89Ba504E163f7429cBCa7bC4F85BCc32AdAa110B, avarger amount: 376.0456468616399641, lottery amount:10
user address:0xa6b6fB6a424f4d107fbdd6F3BCA610B568cCB2EA, avarger amount: 307.638761613021145, lottery amount:10
user address:0xfe568f98dF64e7B49050FfE810D9f78952bb4f92, avarger amount: 306.4869743536795408, lottery amount:10
user address:0xa788C59880F31d6a9c3511A8064286682b01756b, avarger amount: 302.7133494940837789, lottery amount:10
user address:0xe67e43b831A541c5Fa40DE52aB0aFbE311514E64, avarger amount: 298.3474719970517608, lottery amount:10
user address:0x9e2C4933D6228a69149E3011CB1302f3e46a4263, avarger amount: 295.8566624684732959, lottery amount:10
user address:0xBc87E6A5b4a454B05f6BDf4BB05586b9149C2aA7, avarger amount: 257.0053349847805183, lottery amount:10
user address:0xB60b2887C7f64ae49EcC939eCB48C985E9358f09, avarger amount: 254.8361650411345249, lottery amount:10
user address:0x190E7C0403a5DD4bD21d426D88b76b1d513D39B1, avarger amount: 252.4191820597628743, lottery amount:10
user address:0x96a3ba33255a96634E98D108cc111DDC87376d7a, avarger amount: 247.7804759335247304, lottery amount:10
user address:0x729Ea64B1393eD633C069aF04b45e1212905b4A9, avarger amount: 247.0564886925484062, lottery amount:10
user address:0xa9562e29f82abd50f1da6068fAfcc3b5025E522E, avarger amount: 246.5500175478631131, lottery amount:10
user address:0x8A16718aCa875d59e348B4D276cC5ECBEDe68B22, avarger amount: 244.4714987306624046, lottery amount:10
user address:0x93e5204E7033483985Bcc94E48283f3359b2be69, avarger amount: 240.5102662308134729, lottery amount:10
user address:0x40c2541FF113Df5D865C9c7c9a4a2170ca926620, avarger amount: 233.5382262349651949, lottery amount:10
user address:0x347c5D1CE235F341065390039921621D70639d55, avarger amount: 228.3653021160524182, lottery amount:10
user address:0x38e65E030B9B7aCf5Fe9072272516C04cC8a8560, avarger amount: 227.4851411776661159, lottery amount:10
user address:0x83a0Cb9A0bbAAB77d9Fce6857B2D7925B66bD5Ed, avarger amount: 221.8790505190866908, lottery amount:9
user address:0x5789A38a3FAcfaa86ED950e88D79a9A2F6140052, avarger amount: 218.4921619837202646, lottery amount:9
user address:0x74f91d657A5E2Dd1F8Bf446180Be84dA3A8c4Fb3, avarger amount: 175.2370420017571875, lottery amount:8
user address:0xAFa6F70D5d47f7E339B6F33478aAB32646eb09cB, avarger amount: 171.8603284791747116, lottery amount:7
user address:0xE243436E3d7e070e8E5110E997b11d0c9525896f, avarger amount: 162.5771261918267155, lottery amount:7
user address:0x9F24dE85F8A687BDe08756EC64E2B74f198Ca9bA, avarger amount: 156.2961085521722064, lottery amount:7
user address:0x59128ea834e424698Bc45f12c60BeABaB7e51747, avarger amount: 155.9235458297473445, lottery amount:7
user address:0xe7275240C52FC4316277547655C73C10529D345a, avarger amount: 153.8507456645487775, lottery amount:7
user address:0xF388623C892785F7f9539CC86611529D8480EA49, avarger amount: 153.0089858474965802, lottery amount:7
user address:0x6325246e88510D64DBdF10ca77095F06C5cA8735, avarger amount: 149.1862876420250885, lottery amount:6
user address:0xB1dB096De2A713DBb6950Dff2EaFB76521881863, avarger amount: 124.8744120060243744, lottery amount:5
user address:0xc58891BE60Cd6218FDBAB29C6B09b3810978A9b6, avarger amount: 124.1659806424918457, lottery amount:5
user address:0x687672ef80be21e5938abc4Ad3B423687773AF0a, avarger amount: 121.5148056768260965, lottery amount:5
user address:0x166B6770f7513ee4BE7a88f7C8d250E5E8BCbfAF, avarger amount: 118.6409919974279056, lottery amount:5
user address:0x3e900021b5CAd91350F082405d24a395A2C0c76F, avarger amount: 113.6151946696527447, lottery amount:5
user address:0x81aA42257c3eB994e3b2617e08a98cA9dAC3E490, avarger amount: 113.5594735544872527, lottery amount:5
user address:0xbf49b14a9936d1a6245A43c33BBB50f8648643a0, avarger amount: 108.917763571927036, lottery amount:5
user address:0x8eaFC7959f0ad0724460c0ed72622cc6762dE485, avarger amount: 101.8225425687528717, lottery amount:5
user address:0x94566fAe2898502c46ee70970a0869F9565eAeF4, avarger amount: 100.0077612819077574, lottery amount:5
user address:0x92cfdcEEb276a6Bc2f13B6907CD8E6aC245dD0FE, avarger amount: 97.842653162392093, lottery amount:4
user address:0xd040bAEb020692D62A0ec7811Fb6BE9B96f9844e, avarger amount: 97.5252965371165352, lottery amount:4
user address:0x9538E4935E3426e57000b8091fcC0C4DB305B256, avarger amount: 97.0778690192821633, lottery amount:4
user address:0x8d69A355117c12A74A15d58Bfb1303E6C110d518, avarger amount: 93.8878037425, lottery amount:4
user address:0x20aa2e39a83225c5d5b16675BE3c542bf7951004, avarger amount: 90.2226405108596594, lottery amount:4
user address:0xfA2e1Fb7aDB9e78596ad5aF2885F53B645b6C019, avarger amount: 88.7412873732431655, lottery amount:4
user address:0x88E57C01BeBA95b51006dF6dE835FDec38D370af, avarger amount: 87.984570167630568, lottery amount:4
user address:0x8d19fb15a0deA5AD84Cd1BAF8890fd3109081b24, avarger amount: 85.9913454331580573, lottery amount:4
user address:0xA3953352BeAb67861e5a7ffF47f36611A1fF5335, avarger amount: 81.934725741462937, lottery amount:4
user address:0xba0C9F2D2C7A376Ae8b066576f3615Dc1a4b1ab3, avarger amount: 76.4808564149081585, lottery amount:4
user address:0x6924d83Ba3cd169E1BCbaE05a13D45C98bbfe3a3, avarger amount: 69.2807010672214291, lottery amount:3
user address:0x55215A0D2010fCE5c9F76CA9665eF4df430B26A7, avarger amount: 64.7622710714009557, lottery amount:3
user address:0xC5Fcf3E1c433F6340E8B6f81025EcC5f76Cec080, avarger amount: 64.6592274691259251, lottery amount:3
user address:0xE7a2B4CBEE97A6f3B26b72dA19a07603B9C9fdC5, avarger amount: 62.6717495762352719, lottery amount:3
user address:0xfD6231A29661100e9F7E68d37730b040E24caD28, avarger amount: 62.1594621429820584, lottery amount:3
user address:0x8b992C5C31B86cc3a4993eED51fae9ccA0eb3527, avarger amount: 61.6428993108739172, lottery amount:3
user address:0x99E6B634217f861fc17Eb52E58c3fc1A554310ca, avarger amount: 59.6673036005780221, lottery amount:3
user address:0x658D777dADC32b2385655913dAcCcF70E687cCf8, avarger amount: 59.3254101230974698, lottery amount:3
user address:0x4085e9Fb679dD2f60C2E64afe9533107Fa1c18F2, avarger amount: 55.0156943935616586, lottery amount:3
user address:0x72C85976d9920615aAa1887D987330d9cAf7295f, avarger amount: 54.7524665742334342, lottery amount:3
user address:0x25df977E61D7a382A7c2c178815760755d750FBa, avarger amount: 54.5552486979598935, lottery amount:3
user address:0xe3bdaa9fFC03f8AA3F51168c5205E445ab216F15, avarger amount: 50.4885850526045287, lottery amount:3
user address:0x3B5f808D796be6EC00dC63638465Bfc36Bd60D90, avarger amount: 50.3472175869405594, lottery amount:3
user address:0xFCAf5b8babB4864a446671f9b88CB73BAB169BdA, avarger amount: 49.9203401544562275, lottery amount:2
user address:0xC1ba9285ACBae7dC403153F9E5c2B4108AB5ACdc, avarger amount: 49.5931861266107839, lottery amount:2
user address:0x0Aa350FB487F75d4f5d6ED920A5ae0923ded06E1, avarger amount: 49.5284749248234637, lottery amount:2
user address:0xA7758B30e93d2ED6CEA7c85e5B12a1d46F0f091f, avarger amount: 49.3847763439559046, lottery amount:2
user address:0xB1e46BFdBf636D00238E3E765Da45F6098B8d4F9, avarger amount: 49.2733763011891256, lottery amount:2
user address:0x95B18b7721eE14714ab9d50f21fD8027D9b96432, avarger amount: 49.2733763011891256, lottery amount:2
user address:0x6dc7718962eFFddF37b7262Fe27234E3FAF3A8e6, avarger amount: 48.8643910379852962, lottery amount:2
user address:0x66A8Cdd1d92D1e344463580c27d2Db019ac003Bc, avarger amount: 48.4249461101080207, lottery amount:2
user address:0x4F34b189dC7859E33cC210C4fe5A52d6fF2C033c, avarger amount: 47.7071750791357991, lottery amount:2
user address:0x88512CfC901ADB8E17a143310700d6C4BF036F6a, avarger amount: 46.8281978611036796, lottery amount:2
user address:0x6355255DA118B3B7B3Fb80bA2E345C71dDe22A56, avarger amount: 45.9756769022019018, lottery amount:2
user address:0x19E408A49d9f5b6CcCA8Bb1B80129f4561027875, avarger amount: 45.408592471524392, lottery amount:2
user address:0x266E40Cc011197D224a49b7085A994f43Dc4F808, avarger amount: 44.5202289405169013, lottery amount:2
user address:0xe24759dFF56214433a78ddfcC68aF10f58C8c17B, avarger amount: 44.0483986809263897, lottery amount:2
user address:0x5876f3B3DEdA7c3A2F992386471823E26b87fF8F, avarger amount: 43.5977283772813351, lottery amount:2
user address:0xd6B09a68dEF89329dd82b4605a7234641FA41113, avarger amount: 43.3400614939852805, lottery amount:2
user address:0x3298492EE2689911866EBb01A1774DB060ad6A7C, avarger amount: 43.092666372729766, lottery amount:2
user address:0x5f27ff119Ebd1578B3466eaee5Fb70ad9514c164, avarger amount: 42.8730690595148653, lottery amount:2
